Date,Open,High,Low,Close,Adj Close,Volume
2019-09-02,488.000000,500.000000,484.000000,490.000000,490.000000,9248300
2019-09-03,490.000000,525.000000,490.000000,505.000000,505.000000,25994600
2019-09-04,505.000000,515.000000,494.000000,494.000000,494.000000,6778600
2019-09-05,498.000000,505.000000,490.000000,494.000000,494.000000,12973100
2019-09-06,498.000000,505.000000,490.000000,492.000000,492.000000,7906400
2019-09-09,494.000000,510.000000,494.000000,500.000000,500.000000,23769800
2019-09-10,500.000000,505.000000,492.000000,492.000000,492.000000,6891000
2019-09-11,494.000000,498.000000,484.000000,484.000000,484.000000,14507500
2019-09-12,492.000000,496.000000,484.000000,484.000000,484.000000,8992100
2019-09-13,484.000000,490.000000,484.000000,484.000000,484.000000,6926400
2019-09-16,484.000000,486.000000,472.000000,474.000000,474.000000,11918400
2019-09-17,474.000000,498.000000,462.000000,490.000000,490.000000,22208400
2019-09-18,492.000000,535.000000,492.000000,535.000000,535.000000,87049900
2019-09-19,545.000000,555.000000,520.000000,525.000000,525.000000,68873700
2019-09-20,530.000000,550.000000,515.000000,550.000000,550.000000,29426900
2019-09-23,555.000000,555.000000,535.000000,545.000000,545.000000,16840300
2019-09-24,545.000000,550.000000,515.000000,520.000000,520.000000,13558100
2019-09-25,520.000000,530.000000,496.000000,498.000000,498.000000,13764900
2019-09-26,500.000000,520.000000,494.000000,520.000000,520.000000,13085200
2019-09-27,520.000000,530.000000,505.000000,510.000000,510.000000,3396800
2019-09-30,530.000000,530.000000,500.000000,510.000000,510.000000,9488400
2019-10-01,510.000000,520.000000,505.000000,505.000000,505.000000,5016000
2019-10-02,505.000000,515.000000,496.000000,498.000000,498.000000,6847800
2019-10-03,496.000000,500.000000,480.000000,498.000000,498.000000,15408300
2019-10-04,500.000000,510.000000,496.000000,500.000000,500.000000,4546700
2019-10-07,500.000000,510.000000,496.000000,505.000000,505.000000,5005900
2019-10-08,505.000000,510.000000,498.000000,500.000000,500.000000,6032000
2019-10-09,500.000000,520.000000,498.000000,520.000000,520.000000,14042600
2019-10-10,525.000000,530.000000,510.000000,525.000000,525.000000,9696700
2019-10-11,520.000000,580.000000,520.000000,580.000000,580.000000,81295300
2019-10-14,580.000000,590.000000,540.000000,565.000000,565.000000,35632700
2019-10-15,560.000000,585.000000,550.000000,560.000000,560.000000,20478200
2019-10-16,560.000000,615.000000,550.000000,605.000000,605.000000,80051900
2019-10-17,605.000000,610.000000,590.000000,590.000000,590.000000,21910600
2019-10-18,590.000000,615.000000,570.000000,600.000000,600.000000,29383900
2019-10-21,600.000000,610.000000,590.000000,605.000000,605.000000,10274900
2019-10-22,610.000000,630.000000,565.000000,570.000000,570.000000,39884600
2019-10-23,575.000000,605.000000,555.000000,590.000000,590.000000,37943500
2019-10-24,595.000000,595.000000,565.000000,590.000000,590.000000,22467200
2019-10-25,590.000000,595.000000,570.000000,570.000000,570.000000,11095100
2019-10-28,575.000000,580.000000,560.000000,565.000000,565.000000,8334600
2019-10-29,565.000000,595.000000,565.000000,590.000000,590.000000,14554400
2019-10-30,590.000000,595.000000,575.000000,590.000000,590.000000,8867400
2019-10-31,615.000000,630.000000,585.000000,590.000000,590.000000,66059700
2019-11-01,590.000000,610.000000,575.000000,600.000000,600.000000,14913600
2019-11-04,600.000000,610.000000,590.000000,595.000000,595.000000,8272500
2019-11-05,600.000000,610.000000,580.000000,580.000000,580.000000,15159900
2019-11-06,590.000000,595.000000,580.000000,590.000000,590.000000,9746800
2019-11-07,595.000000,600.000000,565.000000,585.000000,585.000000,14816800
2019-11-08,585.000000,595.000000,570.000000,575.000000,575.000000,11225600
2019-11-11,575.000000,580.000000,560.000000,565.000000,565.000000,6364500
2019-11-12,570.000000,580.000000,545.000000,560.000000,560.000000,10200000
2019-11-13,560.000000,580.000000,555.000000,575.000000,575.000000,14894900
2019-11-14,580.000000,585.000000,555.000000,555.000000,555.000000,15844200
2019-11-15,555.000000,585.000000,550.000000,585.000000,585.000000,13481900
2019-11-18,585.000000,590.000000,570.000000,570.000000,570.000000,3692300
2019-11-19,575.000000,585.000000,550.000000,555.000000,555.000000,18692900
2019-11-20,555.000000,560.000000,515.000000,535.000000,535.000000,19583300
2019-11-21,530.000000,540.000000,525.000000,535.000000,535.000000,6986000
2019-11-22,540.000000,555.000000,530.000000,545.000000,545.000000,7228700
2019-11-25,545.000000,555.000000,535.000000,535.000000,535.000000,6879600
2019-11-26,535.000000,545.000000,530.000000,540.000000,540.000000,5030200
2019-11-27,540.000000,565.000000,540.000000,540.000000,540.000000,14811000
2019-11-28,540.000000,545.000000,498.000000,500.000000,500.000000,18018300
2019-11-29,500.000000,510.000000,482.000000,496.000000,496.000000,22734700
2019-12-02,496.000000,545.000000,494.000000,540.000000,540.000000,18333200
2019-12-03,540.000000,540.000000,520.000000,525.000000,525.000000,10703500
2019-12-04,525.000000,530.000000,500.000000,500.000000,500.000000,16311600
2019-12-05,500.000000,515.000000,490.000000,496.000000,496.000000,23818400
2019-12-06,498.000000,510.000000,476.000000,484.000000,484.000000,49876900
2019-12-09,484.000000,520.000000,484.000000,500.000000,500.000000,48096000
2019-12-10,505.000000,525.000000,500.000000,515.000000,515.000000,31196000
